image_id,image_path,y_true,y_pred,predicted_confidence,true_class_probability,confidence_gap,prob_0,prob_1,prob_2,prob_3
8905,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_8906.png,1,2,0.997484564781189,0.0018293852917850018,0.995655179489404,0.00012126500223530456,0.0018293852917850018,0.997484564781189,0.0005647241487167776
1822,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_1823.png,2,1,0.9954551458358765,0.0036688297986984253,0.991786316037178,5.43003661732655e-05,0.9954551458358765,0.0036688297986984253,0.0008216892019845545
8180,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_8181.png,2,0,0.9939221143722534,0.004309017211198807,0.9896130971610546,0.9939221143722534,0.00043659142102114856,0.004309017211198807,0.0013322450686246157
4342,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_4343.png,1,2,0.9850695729255676,0.007361144758760929,0.9777084281668067,0.0017183177405968308,0.007361144758760929,0.9850695729255676,0.005851011723279953
2411,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_2412.png,2,0,0.9846728444099426,0.013709322549402714,0.9709635218605399,0.9846728444099426,0.0010777388233691454,0.013709322549402714,0.0005401788512244821
5525,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_5526.png,2,3,0.9825862646102905,0.013914675451815128,0.9686715891584754,0.0009661558433435857,0.0025328812189400196,0.013914675451815128,0.9825862646102905
8826,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_8827.png,1,3,0.9814119935035706,0.015393706038594246,0.9660182874649763,0.0004490907012950629,0.015393706038594246,0.002745249541476369,0.9814119935035706
2898,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_2899.png,2,3,0.9774043560028076,0.022073397412896156,0.9553309585899115,7.499301864299923e-05,0.00044732168316841125,0.022073397412896156,0.9774043560028076
2353,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_2354.png,2,3,0.9692320227622986,0.03018110804259777,0.9390509147197008,6.486248457804322e-05,0.0005220559542067349,0.03018110804259777,0.9692320227622986
1391,/Users/gregyoungforever/Documents/ISEP2024-2025/CZ/ML/Exercises/final_project/datasets/x_train/img_1392.png,2,0,0.968360185623169,0.024858945980668068,0.9435012396425009,0.968360185623169,0.0028663051780313253,0.024858945980668068,0.003914659842848778
